Estacion;Fecha;Hora;Carril 1 ligeros ;Carril 1 pesados;Carril 2 ligeros ;Carril 2 pesados;Carril 3 ligeros ;Carril 3 pesados;Carril 4 ligeros ;Carril 4 pesados;Carril 5 ligeros ;Carril 5 pesados;Carril 6 ligeros ;Carril 6 pesados
00001 ; 22/12/2025 ; 01:00 ; 00054 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00022 ; 00003 ; 00008 ; 00000 ; 00000 ; 00000
00001 ; 22/12/2025 ; 02:00 ; 00026 ; 00002 ; 00000 ; 00000 ; 00000 ; 00000 ; 00007 ; 00001 ; 00004 ; 00000 ; 00000 ; 00000
00001 ; 22/12/2025 ; 03:00 ; 00029 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00008 ; 00001 ; 00006 ; 00000 ; 00000 ; 00000
00001 ; 22/12/2025 ; 04:00 ; 00012 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00004 ; 00001 ; 00006 ; 00000 ; 00000 ; 00000
00001 ; 22/12/2025 ; 05:00 ; 00039 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00014 ; 00002 ; 00010 ; 00003 ; 00000 ; 00000
00001 ; 22/12/2025 ; 06:00 ; 00119 ; 00004 ; 00000 ; 00000 ; 00000 ; 00000 ; 00068 ; 00004 ; 00029 ; 00001 ; 00000 ; 00000
00001 ; 22/12/2025 ; 07:00 ; 00160 ; 00013 ; 00000 ; 00000 ; 00000 ; 00000 ; 00100 ; 00008 ; 00061 ; 00001 ; 00000 ; 00000
00001 ; 22/12/2025 ; 08:00 ; 00423 ; 00030 ; 00000 ; 00000 ; 00000 ; 00000 ; 00390 ; 00018 ; 00283 ; 00010 ; 00000 ; 00000
00001 ; 22/12/2025 ; 09:00 ; 00493 ; 00045 ; 00000 ; 00000 ; 00000 ; 00000 ; 00460 ; 00025 ; 00297 ; 00009 ; 00000 ; 00000
00001 ; 22/12/2025 ; 10:00 ; 00560 ; 00035 ; 00000 ; 00000 ; 00000 ; 00000 ; 00406 ; 00036 ; 00228 ; 00009 ; 00000 ; 00000
00001 ; 22/12/2025 ; 11:00 ; 00789 ; 00043 ; 00000 ; 00000 ; 00000 ; 00000 ; 00478 ; 00034 ; 00209 ; 00009 ; 00000 ; 00000
00001 ; 22/12/2025 ; 12:00 ; 00883 ; 00036 ; 00000 ; 00000 ; 00000 ; 00000 ; 00596 ; 00027 ; 00206 ; 00009 ; 00000 ; 00000
00001 ; 22/12/2025 ; 13:00 ; 00868 ; 00039 ; 00000 ; 00000 ; 00000 ; 00000 ; 00683 ; 00034 ; 00226 ; 00011 ; 00000 ; 00000
00001 ; 22/12/2025 ; 14:00 ; 00857 ; 00030 ; 00000 ; 00000 ; 00000 ; 00000 ; 00659 ; 00023 ; 00224 ; 00010 ; 00000 ; 00000
00001 ; 22/12/2025 ; 15:00 ; 00787 ; 00031 ; 00000 ; 00000 ; 00000 ; 00000 ; 00547 ; 00021 ; 00205 ; 00009 ; 00000 ; 00000
00001 ; 22/12/2025 ; 16:00 ; 00802 ; 00030 ; 00000 ; 00000 ; 00000 ; 00000 ; 00531 ; 00025 ; 00181 ; 00005 ; 00000 ; 00000
00001 ; 22/12/2025 ; 17:00 ; 00897 ; 00031 ; 00000 ; 00000 ; 00000 ; 00000 ; 00580 ; 00017 ; 00221 ; 00009 ; 00000 ; 00000
00001 ; 22/12/2025 ; 18:00 ; 01150 ; 00028 ; 00000 ; 00000 ; 00000 ; 00000 ; 00732 ; 00022 ; 00261 ; 00004 ; 00000 ; 00000
00001 ; 22/12/2025 ; 19:00 ; 01087 ; 00035 ; 00000 ; 00000 ; 00000 ; 00000 ; 00667 ; 00021 ; 00227 ; 00006 ; 00000 ; 00000
00001 ; 22/12/2025 ; 20:00 ; 00776 ; 00030 ; 00000 ; 00000 ; 00000 ; 00000 ; 00571 ; 00017 ; 00149 ; 00006 ; 00000 ; 00000
00001 ; 22/12/2025 ; 21:00 ; 00517 ; 00014 ; 00000 ; 00000 ; 00000 ; 00000 ; 00418 ; 00012 ; 00094 ; 00006 ; 00000 ; 00000
00001 ; 22/12/2025 ; 22:00 ; 00270 ; 00012 ; 00000 ; 00000 ; 00000 ; 00000 ; 00239 ; 00012 ; 00062 ; 00002 ; 00000 ; 00000
00001 ; 22/12/2025 ; 23:00 ; 00189 ; 00006 ; 00000 ; 00000 ; 00000 ; 00000 ; 00113 ; 00008 ; 00040 ; 00001 ; 00000 ; 00000
00001 ; 22/12/2025 ; 24:00 ; 00056 ; 00003 ; 00000 ; 00000 ; 00000 ; 00000 ; 00035 ; 00003 ; 00012 ; 00001 ; 00000 ; 00000
00001 ; 23/12/2025 ; 01:00 ; 00025 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00039 ; 00002 ; 00013 ; 00001 ; 00000 ; 00000
00001 ; 23/12/2025 ; 02:00 ; 00015 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00011 ; 00000 ; 00008 ; 00000 ; 00000 ; 00000
00001 ; 23/12/2025 ; 03:00 ; 00014 ; 00000 ; 00000 ; 00000 ; 00000 ; 00000 ; 00003 ; 00000 ; 00005 ; 00000 ; 00000 ; 00000
00001 ; 23/12/2025 ; 04:00 ; 00009 ; 00001 ; 00000 ; 00000 ; 00000 ; 00000 ; 00006 ; 00000 ; 00003 ; 00000 ; 00000 ; 00000
00001 ; 23/12/2025 ; 05:00 ; 00029 ; 00000 ; 00000 ; 00000 ; 00000 ; 00000 ; 00016 ; 00001 ; 00008 ; 00001 ; 00000 ; 00000
00001 ; 23/12/2025 ; 06:00 ; 00106 ; 00005 ; 00000 ; 00000 ; 00000 ; 00000 ; 00047 ; 00002 ; 00023 ; 00000 ; 00000 ; 00000
00001 ; 23/12/2025 ; 07:00 ; 00156 ; 00019 ; 00000 ; 00000 ; 00000 ; 00000 ; 00107 ; 00008 ; 00078 ; 00004 ; 00000 ; 00000
00001 ; 23/12/2025 ; 08:00 ; 00406 ; 00032 ; 00000 ; 00000 ; 00000 ; 00000 ; 00340 ; 00021 ; 00275 ; 00007 ; 00000 ; 00000
00001 ; 23/12/2025 ; 09:00 ; 00489 ; 00040 ; 00000 ; 00000 ; 00000 ; 00000 ; 00360 ; 00029 ; 00239 ; 00007 ; 00000 ; 00000
00001 ; 23/12/2025 ; 10:00 ; 00594 ; 00037 ; 00000 ; 00000 ; 00000 ; 00000 ; 00403 ; 00029 ; 00202 ; 00009 ; 00000 ; 00000
00001 ; 23/12/2025 ; 11:00 ; 00749 ; 00036 ; 00000 ; 00000 ; 00000 ; 00000 ; 00513 ; 00033 ; 00200 ; 00011 ; 00000 ; 00000
00001 ; 23/12/2025 ; 12:00 ; 00846 ; 00042 ; 00000 ; 00000 ; 00000 ; 00000 ; 00630 ; 00030 ; 00203 ; 00010 ; 00000 ; 00000
